Code,Description,Frequencies,code_number,ts_code,Frequency,Start Date,End Date,Type Description,number_of_ts,timeseries_position
KBP1021,South African Reserve Bank assets: Total gold and other foreign reserves,"Monthly,Yearly",1021,KBP1021M,Monthly,1964/01,2017/06,",",2,2
KBP1025,South African Reserve Bank assets: Advances to banking institutions,"Monthly,Yearly",1025,KBP1025J,Yearly,1973,2016,",",2,1
KBP1025,South African Reserve Bank assets: Advances to banking institutions,"Monthly,Yearly",1025,KBP1025M,Monthly,1973/01,2017/06,",",2,2
KBP1026,South African Reserve Bank assets: Other advances,"Monthly,Yearly",1026,KBP1026J,Yearly,1973,2016,",",2,1
KBP1026,South African Reserve Bank assets: Other advances,"Monthly,Yearly",1026,KBP1026M,Monthly,1973/01,2017/06,",",2,2
KBP1027,South African Reserve Bank assets: Investments in government stock,"Monthly,Yearly",1027,KBP1027J,Yearly,1964,2016,",",2,1
KBP1027,South African Reserve Bank assets: Investments in government stock,"Monthly,Yearly",1027,KBP1027M,Monthly,1964/01,2017/06,",",2,2
KBP1028,South African Reserve Bank assets: Other investments,"Monthly,Yearly",1028,KBP1028J,Yearly,1964,2016,",",2,1
KBP1028,South African Reserve Bank assets: Other investments,"Monthly,Yearly",1028,KBP1028M,Monthly,1964/01,2017/06,",",2,2
KBP1029,"South African Reserve Bank assets: Total discounts, advances and investments","Monthly,Yearly",1029,KBP1029J,Yearly,1985,2016,",",2,1
KBP1029,"South African Reserve Bank assets: Total discounts, advances and investments","Monthly,Yearly",1029,KBP1029M,Monthly,1985/03,2017/06,",",2,2
KBP1030,South African Reserve Bank assets: Other,"Monthly,Yearly",1030,KBP1030J,Yearly,1985,2016,",",2,1
KBP1030,South African Reserve Bank assets: Other,"Monthly,Yearly",1030,KBP1030M,Monthly,1985/03,2017/06,",",2,2
KBP1031,South African Reserve Bank assets: Total,"Monthly,Yearly",1031,KBP1031J,Yearly,1964,2016,",",2,1
KBP1031,South African Reserve Bank assets: Total,"Monthly,Yearly",1031,KBP1031M,Monthly,1964/01,2017/06,",",2,2
KBP1033,South African Reserve Bank: Utilisation of cash reserves - deficit (contra account debits),"Monthly,Yearly",1033,KBP1033J,Yearly,1998,2016,End of period,2,1
KBP1033,South African Reserve Bank: Utilisation of cash reserves - deficit (contra account debits),"Monthly,Yearly",1033,KBP1033M,Monthly,1998/03,2017/06,End of period,2,2
KBP1034,South African Reserve Bank: Assets: Resale agreements,"Monthly,Yearly",1034,KBP1034J,Yearly,1998,2016,End of period,2,1
KBP1034,South African Reserve Bank: Assets: Resale agreements,"Monthly,Yearly",1034,KBP1034M,Monthly,1998/03,2017/06,End of period,2,2
KBP1035,South African Reserve Bank: Assets: South African Multiple Option Settlement facility (SAMOS),"Monthly,Yearly",1035,KBP1035J,Yearly,1998,2016,End of period,2,1
KBP1035,South African Reserve Bank: Assets: South African Multiple Option Settlement facility (SAMOS),"Monthly,Yearly",1035,KBP1035M,Monthly,1998/03,2017/06,End of period,2,2
KBP1036,South African Reserve Bank: Assets: Total liquidity provided,"Monthly,Yearly",1036,KBP1036J,Yearly,1998,2016,End of period,2,1
KBP1036,South African Reserve Bank: Assets: Total liquidity provided,"Monthly,Yearly",1036,KBP1036M,Monthly,1998/03,2017/06,End of period,2,2
KBP1042,Corporation for Public Deposits (CPD): Liabilities: Public enterprises/corporations deposits,"Monthly,Yearly",1042,KBP1042J,Yearly,1984,2016,",",2,1
KBP1042,Corporation for Public Deposits (CPD): Liabilities: Public enterprises/corporations deposits,"Monthly,Yearly",1042,KBP1042M,Monthly,1984/03,2017/06,",",2,2
KBP1043,Corporation for Public Deposits (CPD): Liabilities: Insurance companies and pension funds deposits,"Monthly,Yearly",1043,KBP1043J,Yearly,1971,2016,",",2,1
KBP1043,Corporation for Public Deposits (CPD): Liabilities: Insurance companies and pension funds deposits,"Monthly,Yearly",1043,KBP1043M,Monthly,1965/01,2017/06,",",2,2
KBP1045,Corporation for Public Deposits (CPD): Liabilities: Other deposits,"Monthly,Yearly",1045,KBP1045J,Yearly,1984,2016,",",2,1
KBP1045,Corporation for Public Deposits (CPD): Liabilities: Other deposits,"Monthly,Yearly",1045,KBP1045M,Monthly,1984/03,2017/06,",",2,2
KBP1046,Corporation for Public Deposits (CPD): Liabilities: Total domestic deposits,"Monthly,Yearly",1046,KBP1046J,Yearly,1984,2016,",",2,1
KBP1046,Corporation for Public Deposits (CPD): Liabilities: Total domestic deposits,"Monthly,Yearly",1046,KBP1046M,Monthly,1984/03,2017/06,",",2,2
KBP1047,Corporation for Public Deposits (CPD): Liabilities: Foreign deposits,"Monthly,Yearly",1047,KBP1047J,Yearly,1977,2016,",",2,1
KBP1047,Corporation for Public Deposits (CPD): Liabilities: Foreign deposits,"Monthly,Yearly",1047,KBP1047M,Monthly,1965/01,2017/06,",",2,2
KBP1048,Corporation for Public Deposits (CPD): Liabilities: Total deposits,"Monthly,Yearly",1048,KBP1048J,Yearly,1984,2016,",",2,1
KBP1048,Corporation for Public Deposits (CPD): Liabilities: Total deposits,"Monthly,Yearly",1048,KBP1048M,Monthly,1984/03,2017/06,",",2,2
KBP1049,Corporation for Public Deposits (CPD): Liabilities: Capital and reserves,"Monthly,Yearly",1049,KBP1049J,Yearly,1984,2016,",",2,1
KBP1049,Corporation for Public Deposits (CPD): Liabilities: Capital and reserves,"Monthly,Yearly",1049,KBP1049M,Monthly,1977/12,2017/06,",",2,2
KBP1050,Corporation for Public Deposits (CPD): Other liabilities,"Monthly,Yearly",1050,KBP1050J,Yearly,1984,2016,",",2,1
KBP1050,Corporation for Public Deposits (CPD): Other liabilities,"Monthly,Yearly",1050,KBP1050M,Monthly,1984/03,2017/06,",",2,2
KBP1051,Corporation for Public Deposits (CPD): Total liabilities,"Monthly,Yearly",1051,KBP1051J,Yearly,1984,2016,",",2,1
KBP1051,Corporation for Public Deposits (CPD): Total liabilities,"Monthly,Yearly",1051,KBP1051M,Monthly,1977/12,2017/06,",",2,2
KBP1053,Deposits of government sector with Corporation for Public Deposits (CPD) (excl. Public Investment Corporation (PIC)),"Monthly,Yearly",1053,KBP1053J,Yearly,1984,2016,",",2,1
KBP1053,Deposits of government sector with Corporation for Public Deposits (CPD) (excl. Public Investment Corporation (PIC)),"Monthly,Yearly",1053,KBP1053M,Monthly,1984/03,2017/06,",",2,2
KBP1061,Corporation for Public Deposits (CPD): Assets: Treasury bills,"Monthly,Yearly",1061,KBP1061J,Yearly,1984,2016,",",2,1
KBP1061,Corporation for Public Deposits (CPD): Assets: Treasury bills,"Monthly,Yearly",1061,KBP1061M,Monthly,1977/12,2017/06,",",2,2
KBP1062,Corporation for Public Deposits (CPD): Assets: Government stock,"Monthly,Yearly",1062,KBP1062J,Yearly,1977,2016,",",2,1
KBP1062,Corporation for Public Deposits (CPD): Assets: Government stock,"Monthly,Yearly",1062,KBP1062M,Monthly,1977/12,2017/06,",",2,2
KBP1063,Corporation for Public Deposits (CPD): Assets: Promissory notes,"Monthly,Yearly",1063,KBP1063J,Yearly,1977,2016,",",2,1
KBP1063,Corporation for Public Deposits (CPD): Assets: Promissory notes,"Monthly,Yearly",1063,KBP1063M,Monthly,1977/12,2017/06,",",2,2
KBP1065,Corporation for Public Deposits (CPD): Assets: Other assets,"Monthly,Yearly",1065,KBP1065J,Yearly,1984,2016,",",2,1
KBP1065,Corporation for Public Deposits (CPD): Assets: Other assets,"Monthly,Yearly",1065,KBP1065M,Monthly,1984/03,2017/06,",",2,2
KBP1066,Corporation for Public Deposits (CPD): Assets: Total assets,"Monthly,Yearly",1066,KBP1066J,Yearly,1984,2016,",",2,1
KBP1066,Corporation for Public Deposits (CPD): Assets: Total assets,"Monthly,Yearly",1066,KBP1066M,Monthly,1985/03,2017/06,",",2,2
KBP1067,Corporation for Public Deposits (CPD): Assets: Call deposits with SARB,"Monthly,Yearly",1067,KBP1067J,Yearly,2002,2016,",",2,1
KBP1067,Corporation for Public Deposits (CPD): Assets: Call deposits with SARB,"Monthly,Yearly",1067,KBP1067M,Monthly,2002/01,2017/06,",",2,2
KBP1069,Public sector securities of CPD (including overdraft of National Treasury),"Monthly,Yearly",1069,KBP1069J,Yearly,1994,2016,",",2,1
KBP1069,Public sector securities of CPD (including overdraft of National Treasury),"Monthly,Yearly",1069,KBP1069M,Monthly,1994/12,2017/06,",",2,2
KBP1070,"Liabilities of banking institutions: Cash managed, cheque and transmission deposits","Monthly,Yearly",1070,KBP1070J,Yearly,1987,2016,",",2,1
KBP1070,"Liabilities of banking institutions: Cash managed, cheque and transmission deposits","Monthly,Yearly",1070,KBP1070M,Monthly,1986/12,2017/06,",",2,2
KBP1071,Liabilities of banking institutions: Other demand deposits,"Monthly,Yearly",1071,KBP1071J,Yearly,1987,2016,",",2,1
KBP1071,Liabilities of banking institutions: Other demand deposits,"Monthly,Yearly",1071,KBP1071M,Monthly,1986/12,2017/06,",",2,2
KBP1072,Liabilities of banking institutions: Savings deposits,"Monthly,Yearly",1072,KBP1072J,Yearly,1987,2016,",",2,1
KBP1072,Liabilities of banking institutions: Savings deposits,"Monthly,Yearly",1072,KBP1072M,Monthly,1986/12,2017/06,",",2,2
KBP1073,Liabilities of banking institutions: Short-term deposits,"Monthly,Yearly",1073,KBP1073J,Yearly,1987,2016,",",2,1
KBP1073,Liabilities of banking institutions: Short-term deposits,"Monthly,Yearly",1073,KBP1073M,Monthly,1986/12,2017/06,",",2,2
KBP1075,Liabilities of banking institutions: Medium-term deposits,"Monthly,Yearly",1075,KBP1075J,Yearly,1987,2016,",",2,1
KBP1075,Liabilities of banking institutions: Medium-term deposits,"Monthly,Yearly",1075,KBP1075M,Monthly,1986/12,2017/06,",",2,2
KBP1076,Liabilities of banking institutions: Long-term deposits,"Monthly,Yearly",1076,KBP1076J,Yearly,1987,2016,",",2,1
KBP1076,Liabilities of banking institutions: Long-term deposits,"Monthly,Yearly",1076,KBP1076M,Monthly,1986/12,2017/06,",",2,2
KBP1077,Liabilities of banking institutions: Total deposits,"Monthly,Yearly",1077,KBP1077J,Yearly,1987,2016,",",2,1
KBP1077,Liabilities of banking institutions: Total deposits,"Monthly,Yearly",1077,KBP1077M,Monthly,1986/12,2017/06,",",2,2
KBP1078,Liabilities of banking institutions: Foreign currency deposits included in total,"Monthly,Yearly",1078,KBP1078J,Yearly,1992,2016,",",2,1
KBP1078,Liabilities of banking institutions: Foreign currency deposits included in total,"Monthly,Yearly",1078,KBP1078M,Monthly,1991/07,2017/06,",",2,2
KBP1080,Liabilities of banking institutions: Foreign currency funding to the domestic sector,"Monthly,Yearly",1080,KBP1080J,Yearly,1992,2016,",",2,1
KBP1080,Liabilities of banking institutions: Foreign currency funding to the domestic sector,"Monthly,Yearly",1080,KBP1080M,Monthly,1991/07,2017/06,",",2,2
KBP1081,Liabilities of banking institutions: Foreign currency funding to the foreign sector,"Monthly,Yearly",1081,KBP1081J,Yearly,1992,2016,",",2,1
KBP1081,Liabilities of banking institutions: Foreign currency funding to the foreign sector,"Monthly,Yearly",1081,KBP1081M,Monthly,1991/07,2017/06,",",2,2
KBP1082,Liabilities of banking institutions: Debt securities,"Monthly,Yearly",1082,KBP1082J,Yearly,2008,2016,",",2,1
KBP1082,Liabilities of banking institutions: Debt securities,"Monthly,Yearly",1082,KBP1082M,Monthly,2008/01,2017/06,",",2,2
KBP1083,Liabilities of banking institutions: Other liabilities to the public,"Monthly,Yearly",1083,KBP1083J,Yearly,1992,2016,",",2,1
KBP1083,Liabilities of banking institutions: Other liabilities to the public,"Monthly,Yearly",1083,KBP1083M,Monthly,1991/07,2017/06,",",2,2
KBP1084,Liabilities of banking institutions: Total other liabilities to the public,"Monthly,Yearly",1084,KBP1084J,Yearly,1987,2016,",",2,1
KBP1084,Liabilities of banking institutions: Total other liabilities to the public,"Monthly,Yearly",1084,KBP1084M,Monthly,1986/12,2017/06,",",2,2
KBP1085,Liabilities of banking institutions: Total liabilities to the public,"Monthly,Yearly",1085,KBP1085J,Yearly,1966,2016,",",2,1
KBP1085,Liabilities of banking institutions: Total liabilities to the public,"Monthly,Yearly",1085,KBP1085M,Monthly,1965/03,2017/06,",",2,2
KBP1086,"Liabilities of banking institutions: Outstanding liabilities on behalf of clients, per contra","Monthly,Yearly",1086,KBP1086J,Yearly,1987,2016,",",2,1
KBP1086,"Liabilities of banking institutions: Outstanding liabilities on behalf of clients, per contra","Monthly,Yearly",1086,KBP1086M,Monthly,1986/12,2017/06,",",2,2
KBP1087,Liabilities of banking institutions: Other liabilities,"Monthly,Yearly",1087,KBP1087J,Yearly,1991,2016,",",2,1
KBP1087,Liabilities of banking institutions: Other liabilities,"Monthly,Yearly",1087,KBP1087M,Monthly,1991/03,2017/06,",",2,2
KBP1088,Liabilities of banking institutions: Share capital and reserves,"Monthly,Yearly",1088,KBP1088J,Yearly,1991,2016,",",2,1
KBP1088,Liabilities of banking institutions: Share capital and reserves,"Monthly,Yearly",1088,KBP1088M,Monthly,1991/02,2017/06,",",2,2
KBP1089,Liabilities of banking institutions: Total capital and other liabilities,"Monthly,Yearly",1089,KBP1089J,Yearly,1991,2016,",",2,1
KBP1089,Liabilities of banking institutions: Total capital and other liabilities,"Monthly,Yearly",1089,KBP1089M,Monthly,1991/03,2017/06,",",2,2
KBP1090,Liabilities of banking institutions: Total equity and liabilities,"Monthly,Yearly",1090,KBP1090J,Yearly,1987,2016,",",2,1
KBP1090,Liabilities of banking institutions: Total equity and liabilities,"Monthly,Yearly",1090,KBP1090M,Monthly,1986/12,2017/06,",",2,2
KBP1091,Corporation for Public Deposits (CPD): Assets: Fixed and call deposits at banks,"Monthly,Yearly",1091,KBP1091J,Yearly,2002,2016,",",2,1
KBP1091,Corporation for Public Deposits (CPD): Assets: Fixed and call deposits at banks,"Monthly,Yearly",1091,KBP1091M,Monthly,2002/01,2017/06,",",2,2
KBP1092,Corporation for Public Deposits (CPD): Assets: NCDs,"Monthly,Yearly",1092,KBP1092J,Yearly,2002,2016,",",2,1
KBP1092,Corporation for Public Deposits (CPD): Assets: NCDs,"Monthly,Yearly",1092,KBP1092M,Monthly,2002/01,2017/06,",",2,2
KBP1093,Corporation for Public Deposits (CPD): Assets: Government loans and advances,"Monthly,Yearly",1093,KBP1093J,Yearly,2011,2016,",",2,1
KBP1093,Corporation for Public Deposits (CPD): Assets: Government loans and advances,"Monthly,Yearly",1093,KBP1093M,Monthly,2011/03,2017/06,",",2,2
KBP1100,Assets of banking institutions: Banknotes and subsidiary coin,"Monthly,Yearly",1100,KBP1100J,Yearly,1987,2016,",",2,1
KBP1100,Assets of banking institutions: Banknotes and subsidiary coin,"Monthly,Yearly",1100,KBP1100M,Monthly,1986/12,2017/06,",",2,2
KBP1101,Assets of banking institutions: Gold coin and bullion,"Monthly,Yearly",1101,KBP1101J,Yearly,1987,2016,",",2,1
KBP1101,Assets of banking institutions: Gold coin and bullion,"Monthly,Yearly",1101,KBP1101M,Monthly,1986/12,2017/06,",",2,2
KBP1102,Assets of banking institutions: Deposits with the SARB,"Monthly,Yearly",1102,KBP1102J,Yearly,1987,2016,",",2,1
KBP1102,Assets of banking institutions: Deposits with the SARB,"Monthly,Yearly",1102,KBP1102M,Monthly,1986/12,2017/06,",",2,2
KBP1104,Assets of banking institutions: Total central bank money and gold,"Monthly,Yearly",1104,KBP1104J,Yearly,1987,2016,",",2,1
KBP1104,Assets of banking institutions: Total central bank money and gold,"Monthly,Yearly",1104,KBP1104M,Monthly,1986/12,2017/06,",",2,2
KBP1107,Assets of banking institutions: Loans granted under resale agreements,"Monthly,Yearly",1107,KBP1107J,Yearly,1992,2016,",",2,1
KBP1107,Assets of banking institutions: Loans granted under resale agreements,"Monthly,Yearly",1107,KBP1107M,Monthly,1991/07,2017/06,",",2,2
KBP1108,"Assets of banking institutions: Instalment debtors, suspensive sales and leases","Monthly,Yearly",1108,KBP1108J,Yearly,1966,2016,",",2,1
KBP1108,"Assets of banking institutions: Instalment debtors, suspensive sales and leases","Monthly,Yearly",1108,KBP1108M,Monthly,1965/03,2017/06,",",2,2
KBP1109,Assets of banking institutions: Mortgage advances,"Monthly,Yearly",1109,KBP1109J,Yearly,1966,2016,",",2,1
KBP1109,Assets of banking institutions: Mortgage advances,"Monthly,Yearly",1109,KBP1109M,Monthly,1965/03,2017/06,",",2,2
KBP1110,Assets of banking institutions: Credit card debtors,"Monthly,Yearly",1110,KBP1110J,Yearly,1992,2016,",",2,1
KBP1110,Assets of banking institutions: Credit card debtors,"Monthly,Yearly",1110,KBP1110M,Monthly,1991/07,2017/06,",",2,2
KBP1111,Assets of banking institutions: Bills and acceptances discounted,"Monthly,Yearly",1111,KBP1111J,Yearly,1987,2016,",",2,1
KBP1111,Assets of banking institutions: Bills and acceptances discounted,"Monthly,Yearly",1111,KBP1111M,Monthly,1986/12,2017/06,",",2,2
KBP1113,"Assets of banking institutions: Interbank and intragroup funding, including NCDs/PNs","Monthly,Yearly",1113,KBP1113J,Yearly,1987,2016,",",2,1
KBP1113,"Assets of banking institutions: Interbank and intragroup funding, including NCDs/PNs","Monthly,Yearly",1113,KBP1113M,Monthly,1986/12,2017/06,",",2,2
KBP1120,"Assets of banking institutions: Foreign currency, loans and advances","Monthly,Yearly",1120,KBP1120J,Yearly,1992,2016,",",2,1
KBP1120,"Assets of banking institutions: Foreign currency, loans and advances","Monthly,Yearly",1120,KBP1120M,Monthly,1991/07,2017/06,",",2,2
KBP1121,Assets of banking institutions: Redeemable preference shares,"Monthly,Yearly",1121,KBP1121J,Yearly,1992,2016,",",2,1
KBP1121,Assets of banking institutions: Redeemable preference shares,"Monthly,Yearly",1121,KBP1121M,Monthly,1991/07,2017/06,",",2,2
KBP1122,Assets of banking institutions: Overdrafts and loans,"Monthly,Yearly",1122,KBP1122J,Yearly,1987,2016,",",2,1
KBP1122,Assets of banking institutions: Overdrafts and loans,"Monthly,Yearly",1122,KBP1122M,Monthly,1986/12,2017/06,",",2,2
KBP1123,Assets of banking institutions: Specific provisions in re- spect of loans and advances,"Monthly,Yearly",1123,KBP1123J,Yearly,1992,2016,",",2,1
KBP1123,Assets of banking institutions: Specific provisions in re- spect of loans and advances,"Monthly,Yearly",1123,KBP1123M,Monthly,1991/07,2017/06,",",2,2
KBP1124,"Assets of banking institutions: Total deposits, loans and advances","Monthly,Yearly",1124,KBP1124J,Yearly,1987,2016,",",2,1
KBP1124,"Assets of banking institutions: Total deposits, loans and advances","Monthly,Yearly",1124,KBP1124M,Monthly,1986/12,2017/06,",",2,2
KBP1125,Assets of banking institutions: Investments other than shares: Government stock,"Monthly,Yearly",1125,KBP1125J,Yearly,1987,2016,",",2,1
KBP1125,Assets of banking institutions: Investments other than shares: Government stock,"Monthly,Yearly",1125,KBP1125M,Monthly,1986/12,2017/06,",",2,2
KBP1126,Assets of banking institutions: Other investments,"Monthly,Yearly",1126,KBP1126J,Yearly,1987,2016,",",2,1
KBP1126,Assets of banking institutions: Other investments,"Monthly,Yearly",1126,KBP1126M,Monthly,1986/12,2017/06,",",2,2
KBP1127,Assets of banking institutions: Investments and bills discounted: Shares,"Monthly,Yearly",1127,KBP1127J,Yearly,1987,2016,",",2,1
KBP1127,Assets of banking institutions: Investments and bills discounted: Shares,"Monthly,Yearly",1127,KBP1127M,Monthly,1986/12,2017/06,",",2,2
KBP1128,Assets of banking institutions: Specific provisions in re- spect of investments and bills,"Monthly,Yearly",1128,KBP1128J,Yearly,1992,2016,",",2,1
KBP1128,Assets of banking institutions: Specific provisions in re- spect of investments and bills,"Monthly,Yearly",1128,KBP1128M,Monthly,1991/07,2017/06,",",2,2
KBP1129,Assets of banking institutions: Total investments and bills discounted,"Monthly,Yearly",1129,KBP1129J,Yearly,1987,2016,",",2,1
KBP1129,Assets of banking institutions: Total investments and bills discounted,"Monthly,Yearly",1129,KBP1129M,Monthly,1986/12,2017/06,",",2,2
KBP1130,Assets of banking institutions: Non-financial assets,"Monthly,Yearly",1130,KBP1130J,Yearly,1987,2016,",",2,1
KBP1130,Assets of banking institutions: Non-financial assets,"Monthly,Yearly",1130,KBP1130M,Monthly,1986/12,2017/06,",",2,2
KBP1131,Assets of banking institutions: Other assets,"Monthly,Yearly",1131,KBP1131J,Yearly,1987,2016,",",2,1
KBP1131,Assets of banking institutions: Other assets,"Monthly,Yearly",1131,KBP1131M,Monthly,1986/12,2017/06,",",2,2
KBP1132,Assets of banking institutions : Total assets,"Monthly,Yearly",1132,KBP1132J,Yearly,1986,2016,",",2,1
KBP1132,Assets of banking institutions : Total assets,"Monthly,Yearly",1132,KBP1132M,Monthly,1986/12,2017/06,",",2,2
KBP1143,Banking institutions: Residents: Government deposits,"Monthly,Yearly",1143,KBP1143J,Yearly,1992,2016,",",2,1
KBP1143,Banking institutions: Residents: Government deposits,"Monthly,Yearly",1143,KBP1143M,Monthly,1991/07,2017/06,",",2,2
KBP1144,Banking institutions: Residents: Deposits at local governments and regional services councils,"Monthly,Yearly",1144,KBP1144J,Yearly,1992,2016,",",2,1
KBP1144,Banking institutions: Residents: Deposits at local governments and regional services councils,"Monthly,Yearly",1144,KBP1144M,Monthly,1991/07,2017/06,",",2,2
KBP1145,Banking institutions: Residents: Deposits by public enterprises / corporations,"Monthly,Yearly",1145,KBP1145J,Yearly,1992,2016,",",2,1
KBP1145,Banking institutions: Residents: Deposits by public enterprises / corporations,"Monthly,Yearly",1145,KBP1145M,Monthly,1991/07,2017/06,",",2,2
KBP1146,Banking institutions: Residents: Deposits by insurers and pension funds,"Monthly,Yearly",1146,KBP1146J,Yearly,1992,2016,",",2,1
KBP1146,Banking institutions: Residents: Deposits by insurers and pension funds,"Monthly,Yearly",1146,KBP1146M,Monthly,1991/07,2017/06,",",2,2
KBP1147,Banking institutions: Residents: Deposits by other companies and close corporations,"Monthly,Yearly",1147,KBP1147J,Yearly,1992,2016,",",2,1
KBP1147,Banking institutions: Residents: Deposits by other companies and close corporations,"Monthly,Yearly",1147,KBP1147M,Monthly,1991/07,2017/06,",",2,2
KBP1150,Banking institutions: Total deposits by residents,"Monthly,Yearly",1150,KBP1150J,Yearly,1992,2016,",",2,1
KBP1150,Banking institutions: Total deposits by residents,"Monthly,Yearly",1150,KBP1150M,Monthly,1991/07,2017/06,",",2,2
KBP1152,Banking institutions: Total deposits by non-residents,"Monthly,Yearly",1152,KBP1152J,Yearly,1992,2016,",",2,1
KBP1152,Banking institutions: Total deposits by non-residents,"Monthly,Yearly",1152,KBP1152M,Monthly,1991/07,2017/06,",",2,2
KBP1153,Banking institutions: Residents: Interbank and intragroup deposits,"Monthly,Yearly",1153,KBP1153J,Yearly,1992,2016,",",2,1
KBP1153,Banking institutions: Residents: Interbank and intragroup deposits,"Monthly,Yearly",1153,KBP1153M,Monthly,1991/07,2017/06,",",2,2
KBP1154,Banking institutions: Residents: Households deposits,"Monthly,Yearly",1154,KBP1154J,Yearly,1992,2016,",",2,1
KBP1154,Banking institutions: Residents: Households deposits,"Monthly,Yearly",1154,KBP1154M,Monthly,1991/07,2017/06,",",2,2
KBP1155,Banking institutions: Residents: Deposits by other monetary institutions,"Monthly,Yearly",1155,KBP1155J,Yearly,2008,2016,",",2,1
KBP1155,Banking institutions: Residents: Deposits by other monetary institutions,"Monthly,Yearly",1155,KBP1155M,Monthly,2008/01,2017/06,",",2,2
